S,I,R
26.704749965726492,180.51879161508973,292.7764584191837
26.228268282341514,179.19490541789193,294.5768262997665
25.763700635804536,177.8723509050322,296.3639484591632
25.31071019175301,176.5514499625181,298.1378398457288
24.86897007397404,175.23251135786708,299.8985185681588
24.43816307534354,173.91583116055313,301.6460057641033
24.017981371092073,172.60169315556084,303.380325473347
23.60812618315544,171.29036930676835,305.1015045100761
23.2083076446538,169.98211999911683,306.8095723562293
22.81824451850724,168.67719443638498,308.5045610451077
22.437663955285007,167.37583099312462,310.18650505159025
22.06630119295955,166.07825762569502,311.8554411813453
21.70389935598107,164.78469217380197,313.51140847021685
21.350209256299532,163.49534265702957,315.1544480866708
21.00498915533443,162.2104076104176,316.78460323424787
20.66800453740997,160.9300764045983,318.4019190579917
20.339027853665222,159.65452959383236,320.00644255250234
20.017838373389885,158.38393914942023,321.59822247718984
19.704221967601704,157.11846876101063,323.1773092713876
19.397970911903187,155.85827411525023,324.74375497284655
19.09888366845968,154.60350319262565,326.2976131389146
18.80676470761879,153.35429652180545,327.8389387705757
18.521424344585117,152.1107874162972,329.3677882391176
18.242678554018585,150.87310223085484,330.8842192151265
17.970348795474816,149.64136060436087,332.3882906001642
17.70426182603301,148.4156757123294,333.8800624616375
17.444249562206558,147.19615446994115,335.3595959678522
17.19014891720538,145.98289775614472,336.8269533266498
16.941801646937293,144.77600062709038,338.2821977259722
16.699054192196183,143.57555253003733,339.7253932777664
16.46175753453881,142.38163750280157,341.1566049626595
16.22976706508972,141.19433435948804,342.5758985754221
16.00294244444939,140.0137168814973,343.9833406740532
15.781147470104997,138.83985399949648,345.3789985303984
15.564249941405501,137.67280997415577,346.76294008443864
15.352121542834848,136.5126445611286,348.1352338960364
15.144637722457913,135.35941317667368,349.4959491008683
